선수명,ERA,IP,SO
김이환,0,2.333333333,1
김진욱,0,1,0
송창현,0,1,2
김경태,1.13,8,7
정우람,1.88,38.33333333,30
임준섭,2.92,24.66666667,15
안영명,3.43,44.66666667,35
김성훈,3.93,18.33333333,20
박상원,4.09,44,26
채드벨,4.15,123.6666667,92
김종수,4.15,26,21
서폴드,4.39,131.3333333,94
장민재,4.81,91.66666667,84
박윤철,4.86,16.66666667,16
김범수,5.67,81,65
이태양,6.52,48.33333333,38
김민우,6.75,68,46
박주홍,7.44,32.66666667,25
신정락,9.78,19.33333333,19
윤규진,10.38,4.333333333,1
문동욱,12.06,15.66666667,12
김재영,12.96,8.333333333,4
서균,14.54,4.333333333,3
황영국,27,1,3
송창식,54,43468,1
윤호솔,81,43468,1
