song_id,song_name,group_id,date,composer,lyrics
101,Tell Me,1,2007-09-12,박진영,tell me tell me tetetete tel me
102,Gee,2,2009-01-05,E-Tribe,GEE GEE GEE GEE GEE BABY BABY
103,미스터,3,2009-07-30,"한재호, 김승수",이름이 뭐야 미스터
104,Abracadabra,4,2009-07-21,Hitchhiker,이러다 미쳐 내가 여리여리
105,8282,5,2009-02-27,"김도훈, 이현승",Give me a call Baby baby
106,기대해,12,2013-03-14,남기상,기대해
107,I Don't car,6,2009-07-08,"테디, 쿠시",다른 여자들의 다리를
108,Bad Girl Good Girl,13,2070-07-01,박진영,앞에선 한 마디 말도
109,피노키오,7,2011-04-20,Hitchhiker,뉴예삐오
110,별빛달빛,8,2011-06-01,"강지원, 김기범",너는 내 별빛 내 마음의 별빛
111,A,9,2010-08-12,"한재호, 김승수",A 워오우 워오우워 우우우
112,나혼자,14,2012-04-12,용감한 형제,나 혼자 밥을 먹고 나 혼자 영화 보고
114,짧은치마,16,2014-01-16,용감한 형제,짧은 치마를 입고 내가 길을 걸으면
115,위아래,17,2014-08-27,신사동 호랭이,위 아래 위위 아래
116,Dumb Dumb,18,2015-09-09,LDN Noise,너 땜에 하루종일
